paper_id	term_1	term_2	id	sentence_index	segment_length	Term1	Term2	Sentence	True Negative	True Positive
Example	lpv	ifnb	Example	344	165	@TERM$1	@TERM$2	thus this study was aimed at determining if themaximal amount of  @TERM$1  attainable in humans provided an additive or synergisticantiviral effect when combined with  @TERM$2 	0.99999726	2.7392878e-06
Example	lpv	rtv	Example	355	94	@TERM$1	@TERM$2	 @TERM$1  32 mgml  @TERM$2  8 mgml was solubilized in vehiclecontaining 90 propylene glycol and 10 ethanol	0.99999595	4.1105372e-06
Example	lpv	rtv	Example	356	73	@TERM$1	@TERM$2	the ratio of  @TERM$1  to  @TERM$2  washeld at 41 weightweight for all studies herein	0.99999726	2.796202e-06
Example	dpp4	hdpp4	Example	360	199	@TERM$1	@TERM$2	we recently developed a mouse model formerscov through the mutation of mouse  @TERM$1  at 288 and 330 via crisprcas9 thus humanizing the receptor  @TERM$2  and rendering mice susceptible tomerscov infection22	0.9999856	1.4444263e-05
Example	ifnb	hdpp4	Example	381	185	@TERM$1	@TERM$2	to generate a pharmacokinetic andpharmacodynamic pkpd relationship for  @TERM$1  we subcutaneously administered mouse ifnb r d systems to 1820 weekold male and femaleces1cor ces1c  @TERM$2  mice	0.999928	7.200548e-05
Example	ces1c	ifnb	Example	424	226	@TERM$1	@TERM$2	inrandomly assigned groups of 1214weekold  @TERM$1  hdpp4 female mice wecompared vehicle lpvrtv @TERM$2  low 16 miukg or 48e4 iu30 g mouse40 g30 g mouse lpvrtvifnb high 40 miukg or 12 miu30 g mouse1000 g30 g mouse and ifnb high alone	0.9999981	1.8954759e-06
Example	hdpp4	ifnb	Example	424	226	@TERM$1	@TERM$2	inrandomly assigned groups of 1214weekold ces1c  @TERM$1  female mice wecompared vehicle lpvrtv @TERM$2  low 16 miukg or 48e4 iu30 g mouse40 g30 g mouse lpvrtvifnb high 40 miukg or 12 miu30 g mouse1000 g30 g mouse and ifnb high alone	0.999998	2.058175e-06
Example	lpv	rtv	Example	412	126	@TERM$1	@TERM$2	a humanequivalent dose of a coformulation of  @TERM$1  160 mgkg and  @TERM$2  40 mgkg at5 mlkg was administered once daily via oral gavage	0.99999845	1.5960447e-06
Example	ces1c	hdpp4	Example	409	133	@TERM$1	@TERM$2	in therst study inrandomly assigned groups n  910 of 1113weekold  @TERM$1   @TERM$2  femalemice we compared vehicle lpvrtvifnb or ifnb alone	0.99999774	2.255157e-06
Example	ces1c	ifnb	Example	409	133	@TERM$1	@TERM$2	in therst study inrandomly assigned groups n  910 of 1113weekold  @TERM$1  hdpp4 femalemice we compared vehicle lpvrtv @TERM$2  or ifnb alone	0.9999987	1.3033624e-06
Example	hdpp4	ifnb	Example	409	133	@TERM$1	@TERM$2	in therst study inrandomly assigned groups n  910 of 1113weekold ces1c  @TERM$1  femalemice we compared vehicle lpvrtv @TERM$2  or ifnb alone	0.9999987	1.3411841e-06
Example	hdpp4	ifnb	Example	239	97	@TERM$1	@TERM$2	micewhere  @TERM$1  is delivered to lung tissue by adenoviral transduction intranasal  @TERM$2  given befo	0.9999957	4.246936e-06
Example	ip10	cxcl10	Example	392	163	@TERM$1	@TERM$2	to monitor induction of interferon inducedprotein expression we quantitated levels of mouse ifngamma inducible protein10  @TERM$1   @TERM$2  in plasma via elisa invitrogen	0.9999981	1.8597201e-06
Example	ces1c	hdpp4	Example	386	207	@TERM$1	@TERM$2	second we compared the responses to a 25 human equivalent doseof ifnb ie 40 miukg or 12 miu30 g mouse 1000 g30 g mouse in @TERM$1 or ces1c  @TERM$2  mice n  25group to ensure that these mouse lines respondsimilarly	0.9999987	1.2814386e-06
Example	ifnb	ces1c	Example	386	207	@TERM$1	@TERM$2	second we compared the responses to a 25 human equivalent doseof  @TERM$1  ie 40 miukg or 12 miu30 g mouse 1000 g30 g mouse in @TERM$2 or ces1c hdpp4 mice n  25group to ensure that these mouse lines respondsimilarly	0.99999726	2.7721278e-06
Example	ifnb	hdpp4	Example	386	207	@TERM$1	@TERM$2	second we compared the responses to a 25 human equivalent doseof  @TERM$1  ie 40 miukg or 12 miu30 g mouse 1000 g30 g mouse inces1cor ces1c  @TERM$2  mice n  25group to ensure that these mouse lines respondsimilarly	0.9999982	1.7575753e-06
Example	ifnb	ces1c	Example	384	92	@TERM$1	@TERM$2	first we compared 1 and25 human equivalent doses of  @TERM$1  in cohorts n  20group of  @TERM$2  mice	0.9999975	2.484979e-06
Example	ces1c	hdpp4	Example	381	185	@TERM$1	@TERM$2	to generate a pharmacokinetic andpharmacodynamic pkpd relationship for ifnb we subcutaneously administered mouse ifnb r d systems to 1820 weekold male and female @TERM$1 or ces1c  @TERM$2  mice	0.99999845	1.5646282e-06
Example	ifnb	ces1c	Example	381	185	@TERM$1	@TERM$2	to generate a pharmacokinetic andpharmacodynamic pkpd relationship for  @TERM$1  we subcutaneously administered mouse ifnb r d systems to 1820 weekold male and female @TERM$2 or ces1c hdpp4 mice	0.99993193	6.809883e-05
Example	ifnb	mx1	Example	391	141	@TERM$1	@TERM$2	esponseto  @TERM$1  treatment in pbmcs was quantitated by qrtpcr for the classic interferon stimulated gene mx dynaminlike gtpase 1  @TERM$2  by taqman 	0.9999976	2.374431e-06
Example	hdpp4	remdesivir	Example	218	130	@TERM$1	@TERM$2	maleces1c  @TERM$1  mice infected with 5e 04pfu mers m35c4 and treated witha subcutaneous vehicle for rdv n 13 or  @TERM$2  rdv 25 mg	0.99995196	4.8091362e-05
Example	lpv	rtv	Example	208	27	@TERM$1	@TERM$2	ribavirin  @TERM$1   @TERM$2  and immun	0.9999932	6.7413425e-06
Example	lpv	ifnb	Example	208	93	@TERM$1	@TERM$2	ribavirin  @TERM$1  rtv and immunomodulators eg corticosteroids interferon alpha2a2b  @TERM$2  as single	0.99999785	2.1464318e-06
Example	lpv	rtv	Example	37	106	@TERM$1	@TERM$2	we then performed parallel antiviral assays in calu3 cells withmersnluc comparing  @TERM$1   @TERM$2  ifnb and rdv fig	0.9999963	3.6487197e-06
Example	lpv	ifnb	Example	37	106	@TERM$1	@TERM$2	we then performed parallel antiviral assays in calu3 cells withmersnluc comparing  @TERM$1  rtv  @TERM$2  and rdv fig	0.99999726	2.7870462e-06
Example	rtv	ifnb	Example	37	106	@TERM$1	@TERM$2	we then performed parallel antiviral assays in calu3 cells withmersnluc comparing lpv  @TERM$1   @TERM$2  and rdv fig	0.99999845	1.578871e-06
Example	ifnb	lpv	Example	31	66	@TERM$1	@TERM$2	resultsrdv and  @TERM$1  have superior antiviral activity to  @TERM$2  andrtv	0.9999937	6.317562e-06
Example	lpv	rtv	Example	18	163	@TERM$1	@TERM$2	 @TERM$1  is a human immunodeciency virus 1 hiv1 protease inhibitor that is usuallycombined with  @TERM$2  to increase lpv halflife through the inhibition of cytochrome p4507	0.9539542	0.0460458
Example	lopinavir	lpv	Example	17	191	@TERM$1	@TERM$2	multiple us food and drug administration fdaapproved therapies have been evaluated for antiviral activityagainst merscov in vitro including  @TERM$1   @TERM$2  ritonavirrtv and interferon beta ifnb	0.9999975	2.47304e-06
Example	lpv	rtv	Example	43	113	@TERM$1	@TERM$2	in contrastthe respective ec50 values generated for  @TERM$1  and  @TERM$2  were 116and 249 m with cc50 values 50 m fig1b c	0.9999957	4.344872e-06
Example	lpv	ifnb	Example	17	191	@TERM$1	@TERM$2	multiple us food and drug administration fdaapproved therapies have been evaluated for antiviral activityagainst merscov in vitro including lopinavir  @TERM$1  ritonavirrtv and interferon beta  @TERM$2 	0.9999982	1.7430482e-06
Example	lpv	rtv	Example	2	97	@TERM$1	@TERM$2	here we show thatremdesivir rdv and ifnb have superior antiviral activity to  @TERM$1  and  @TERM$2  in vitro	0.9999987	1.3412314e-06
Example	ifnb	lpv	Example	2	97	@TERM$1	@TERM$2	here we show thatremdesivir rdv and  @TERM$1  have superior antiviral activity to  @TERM$2  and rtv in vitro	0.087350875	0.9126491
Example	ifnb	rtv	Example	2	97	@TERM$1	@TERM$2	here we show thatremdesivir rdv and  @TERM$1  have superior antiviral activity to lpv and  @TERM$2  in vitro	0.011660432	0.98833954
Example	lopinavir	ritonavir	Example	1	200	@TERM$1	@TERM$2	there are no approved treatments for merscov infectionalthough a combination of  @TERM$1   @TERM$2  and interferon beta lpvrtvifnb is currently being evaluated in humans in the kingdom of saudi arabia	0.9999976	2.3270559e-06
Example	remdesivir	lopinavir	Example	0	56	@TERM$1	@TERM$2	fcacy of  @TERM$1  andcombination  @TERM$2  ritonavir 	0.99997103	2.8925722e-05
Example	lopinavir	ritonavir	Example	0	39	@TERM$1	@TERM$2	mbination  @TERM$1   @TERM$2  and inter	0.99998343	1.6560914e-05
Example	lopinavir	ifnb	Example	17	191	@TERM$1	@TERM$2	multiple us food and drug administration fdaapproved therapies have been evaluated for antiviral activityagainst merscov in vitro including  @TERM$1  lpv ritonavirrtv and interferon beta  @TERM$2 	0.9999976	2.42419e-06
Example	ces1c	hdpp4	Example	424	226	@TERM$1	@TERM$2	inrandomly assigned groups of 1214weekold  @TERM$1   @TERM$2  female mice wecompared vehicle lpvrtvifnb low 16 miukg or 48e4 iu30 g mouse40 g30 g mouse lpvrtvifnb high 40 miukg or 12 miu30 g mouse1000 g30 g mouse and ifnb high alone	0.9999956	4.425187e-06
Example	lpv	rtv	Example	44	54	@TERM$1	@TERM$2	thus the sifor  @TERM$1  and  @TERM$2  was  43 and  2 respectively	0.9999964	3.5536455e-06
Example	ifnb	lpv	Example	48	196	@TERM$1	@TERM$2	together these data demonstrate that rdv and  @TERM$1  havesuperior in vitro antiviral activity compared with  @TERM$2  and rtvand that rtv does not signicantly enhance the antiviral activityof lpv in vitro	0.99999404	5.9771305e-06
Example	rtv	ifnb	Example	208	89	@TERM$1	@TERM$2	virin lpv  @TERM$1  and immunomodulators eg corticosteroids interferon alpha2a2b  @TERM$2  as single	0.9999976	2.4362205e-06
Example	ces1c	remdesivir	Example	180	204	@TERM$1	@TERM$2	apercent starting weight left of 12 14weekold female  @TERM$1  hdpp4mice infected with 5e 04 pfu mers m35c4 and treated bid with either vehicle n  9 or  @TERM$2  rdv 25 mgkgn  9 subcutaneously beginning1 dpi	0.9999962	3.862407e-06
Example	hdpp4	remdesivir	Example	118	94	@TERM$1	@TERM$2	maleces1c  @TERM$1  miceprophylactically administered subcutaneous vehicle or  @TERM$2  rdv 25 mg	0.9999875	1.2458967e-05
Example	hdpp4	ifnb	Example	101	125	@TERM$1	@TERM$2	thus we observed an expectedisg response in the blood and lung tissue of bothces1 andces1  @TERM$1  mice following  @TERM$2  treatment	0.99999654	3.4261948e-06
Example	ifnb	ip10	Example	99	231	@TERM$1	@TERM$2	similarly a single dose of  @TERM$1  signicantly inducedsustained expression p  005 twoway anova with sideksmultiple comparison test of interferon gammainduced protein10  @TERM$2  cxcl10 in the serum of both strains of micesupplementary fig	0.9999975	2.5150264e-06
Example	ip10	cxcl10	Example	99	231	@TERM$1	@TERM$2	similarly a single dose of ifnb signicantly inducedsustained expression p  005 twoway anova with sideksmultiple comparison test of interferon gammainduced protein10  @TERM$1   @TERM$2  in the serum of both strains of micesupplementary fig	0.9999981	1.8528584e-06
Example	ifnb	rtv	Example	48	196	@TERM$1	@TERM$2	together these data demonstrate that rdv and  @TERM$1  havesuperior in vitro antiviral activity compared with lpv and  @TERM$2 and that rtv does not signicantly enhance the antiviral activityof lpv in vitro	0.99999523	4.7859617e-06
Example	ifnb	cxcl10	Example	99	231	@TERM$1	@TERM$2	similarly a single dose of  @TERM$1  signicantly inducedsustained expression p  005 twoway anova with sideksmultiple comparison test of interferon gammainduced protein10 ip10  @TERM$2  in the serum of both strains of micesupplementary fig	0.99999654	3.4994193e-06
Example	ifnb	lpv	Example	83	167	@TERM$1	@TERM$2	1 rdv and  @TERM$1  have superior antiviral activity to  @TERM$2  and rtvgraphs depict mean  inhibition of merscov replication leftyaxis and cytotoxicity rightyaxis of antivirals	0.91935754	0.08064246
Example	dpp4	hdpp4	Example	58	139	@TERM$1	@TERM$2	to enable testing of rdv in mice we bredces1cmice with mice harboring a modi ed  @TERM$1  humanized viacrisprcas9 at residues 288 and 330  @TERM$2 	0.999977	2.3040191e-05
Example	lpv	rtv	Example	51	120	@TERM$1	@TERM$2	thus we combined  @TERM$1  5 mand  @TERM$2  109 m at axed molar ratio of 461 in combinationwith increasing concentrations of ifnb	0.9999883	1.17164e-05
Example	lpv	ifnb	Example	51	120	@TERM$1	@TERM$2	thus we combined  @TERM$1  5 mand rtv 109 m at axed molar ratio of 461 in combinationwith increasing concentrations of  @TERM$2 	0.999998	2.0180678e-06
Example	rtv	ifnb	Example	51	120	@TERM$1	@TERM$2	thus we combined lpv 5 mand  @TERM$1  109 m at axed molar ratio of 461 in combinationwith increasing concentrations of  @TERM$2 	0.9999975	2.5068177e-06
Example	lpv	rtv	Example	48	196	@TERM$1	@TERM$2	together these data demonstrate that rdv and ifnb havesuperior in vitro antiviral activity compared with  @TERM$1  and  @TERM$2 and that rtv does not signicantly enhance the antiviral activityof lpv in vitro	0.99999547	4.5597567e-06
Example	ces1c	hdpp4	Example	97	144	@TERM$1	@TERM$2	importantly the kinetics ofmx1 geneexpression in target organ of merscov the lung was similar inboth  @TERM$1  and ces1c  @TERM$2  mice supplementaryfig	0.99999726	2.775175e-06
Example	ces1c	hdpp4	Example	435	152	@TERM$1	@TERM$2	for headtohead therapeutic efcacy studiescomparing rdv to lpvrtvifnb female 912weekold  @TERM$1   @TERM$2  wererandomly assigned to each treatment group n 1012	0.9999976	2.438689e-06
